,No DESIGNATION,Reussite,COMMENTAIRES
0,299568158,False,[' obtenu marchand christophe le    a  le client repe son rdv car n a pas encore termine les   il va contacter orange pour fixer un nouveau rdv ']
1,297892193,True,"['  point de terminaison optique existante malfaçon on plp non détectée  point de terminaison optique existante brassage au niveau du pm ont ok dae ok ', 'gm un rdv a ete repris par le technicien pour le   a partir de  apsp ']"
2,297897767,True,"['  point de terminaison optique non existante mohand ok raccordementordement pavillon en aerien ok point de terminaison optique pose au salon a la demande du client val pm  val point de terminaison optique  delc ok  dae ok ', ""gm cp obtenu cliente le    le client a bien compris les travaux a realiser et nous recontactera pour reprendre rdv des travaux finisapsm poser une gaine entre l'arrivee interieure (pavillon) et l'emplacement souhaite de la prise fibre"", 'gm obtenu clt le   au  repris rdv le   a partir de  apil', ""gm cp obtenu cliente le    le client a bien compris les travaux a realiser et nous recontactera pour reprendre rdv des travaux finisapsm poser une gaine entre l'arrivee interieure (pavillon) et l'emplacement souhaite de la prise fibre"", 'gm rv    obtenu client au  le    a :  rdv repris pour le   a partir de :  aphb']"
3,223370510,True,['  point de terminaison optique non existante installation complete pavillon ok passage de câble souterrain ok  dae ok ']
4,299556603,True,['  point de terminaison optique existante malfaçon on plp non détectée  pm: t   decharge :  dae ok ']
5,299001768,True,['  point de terminaison optique non existante installation immeuble complete ok dae ok ']
6,296729387,True,"['  point de terminaison optique existante malfaçon on plp non détectée  moby hs le t est et ok le client a teins la boxe route optique ok pas pu faire arriver sur site moby hs pas pu cl turer aussi  dae ko moby hs', 'plp non detecte en commande mais suspecte  si presence point de terminaison optique  utiliser emutation pour muter  si pas de point de terminaison optique  utiliser emutation pour creer point de terminaison optique puis mutersi pas possible appeler appui a chaud  ou   precisez lors de la cloture si point de terminaison optique a ete trouvee']"
7,298070470,True,"['  point de terminaison optique existante malfaçon on plp détectée câble non conforme  reprise point de terminaison optique voir photo   dae ok ', 'plp non detecte en commande mais suspecte  si presence point de terminaison optique  utiliser emutation pour muter  si pas de point de terminaison optique  utiliser emutation pour creer point de terminaison optique puis mutersi pas possible appeler appui a chaud  ou   precisez lors de la cloture si point de terminaison optique a ete trouvee']"
8,296415177,False,['obtenu pian claudine au  le    a :   le clt doit uler le rdv car l adresse correct est  allee du presbytere  plorec sur arguenonpas eéligiblend:']
9,299778795,True,['  point de terminaison optique non existante raccordement aerien  tout service ok point de terminaison optique installer au salon client satisfait  dae ok ']
10,223070421,True,"['ele', 'obtenu client le   pour reprise de rdv client na a pas encore effectue ses travaux apep gm cp envoye sms au  le   a  pour reprendre nouveau rdv des  fini + laisse message vocal pour infos travaux  apsm  gem litige: ra refus passage en apparent dans les par', 'gm cp envoye sms au  le    a  pour reprendre nouveau rdv des  fini + laisse message vocal pour infos travaux  apsm  gem litige: ra refus passage en apparent dans les parties communes  bloquage cheminement point de terminaison optique point de branchemento  partie privative  gaine technique inaccessible les c cble dsl ne bougent pas   la cliente est lo', 'gmgm cp envoye sms au  le    a  pour reprendre nouveau rdv des  fini + laisse message vocal pour infos travaux  apsm  gem litige: ra refus passage en apparent dans les parties communes  bloquage cheminement point de terminaison optique point de branchemento  partie privative  gaine technique inaccessible les c cble dsl ne bougent pas   la cliente es']"
11,223449565,False,"['cac=ouigps=dn=point de branchementr= de branchementg= ?tage  de branchementd=appui orangepoint de branchementt=jaunepoint de branchementf=turquoise=point de branchementp=   immeuble precâble  abonn e au  er tage numero d appartement    point de branchemento au  eme tage pt  aucune fibre dispo la mutation  dae na non', ""gm le tech a repris rdv avec le client pour le   a partir de  apaf   gem litige: mc besoin binome ou materiel besoin d'un kit  fo  voir  metres   soudures a faire sur le point de branchement pr  cabl   a pr  voirappartement  le client est disponible demain d  s  le point de branchement se situe au    me etg dans la gaine te"", ""gm th  gem litige: mc besoin binome ou materiel avoir repris un rendez vous avec la cliente pour le  mai ou si vous le pouvez pour demain  c'est un raccordementordement complet kit  dae na non   éligible au dae""]"
12,296947056,False,"['suite a plusieurs reles aucun retour de la part du clt  laisse message vocal le   clt doit recontacter son operateur apan gm ab laisse message vocal le   pour reprendre nouveau rdv   apsm gem  ne repond pas au t l phone  dae na non éligible au dae', '  ', 'gm ab  laisse message vocal le   pour reprendre nouveau rdv   apsm gem litige: ab client absent ne repond pas au t  l  phone  dae na non   éligible au dae']"
13,223633006,True,"['  point de terminaison optique existante malfaçon on plp non détectée  test ok box internet wifi ok dae ok ', ""gm ai   gem litige: mc non accessibilite en autonomie au pm en immeuble besoin de configurer la box mobile ne fonctionne pas et la candidativit   de la gtc orange et injoignable pour faire la configuration de la box l'abonn   doit avoir un autre rendez vous pour configurer sa box parce que c'est un d  m  nagement d"", 'gm lo    suite rappel de mr chobert   repris   matin <   > apib']"
14,299202532,True,['  point de terminaison optique existante malfaçon on plp non détectée  plp ok dae ok ']
15,296729241,True,"['j ai passe la ficelle de poteau jusqu a la premiere arrive sur son regard  apre la deuxieme partie de sa gaine qui part chez lui bouche client rappellera apres realiser les travaux  dossier hors delais apsm', 'gm cp  gem litige: cp travaux sur conduite privative client doit poser une gaine  dae na non eéligible au dae', 'manque temps cliente avise sur chat orange ', 'gm rv    suite retour sms   message vocal ok au  le   pour confirmation de  rdv le   a partir de : aphb']"
16,223372408,True,"['  le client a des travaux a faire mais ne souhaite pas les realiser   regard enterr  dae na non éligible au dae', 'gm besoin de materiel', ""gm cp un rdv a ete repris par le technicien pour le   a partir de   apab  rdv reprit pour le lundi   a  car le client doit obtenir l'autorisation du proprietaire pour le percement"", 'gm un rdv a ete repris par le technicien pour le   a partir de  apsp  intervention remis en accord avec client pour mardi  avril  ', 'le client absent les photos dans piece jointe ']"
17,298421370,True,"['  point de terminaison optique non existante pose jrt pm brhement point de branchement pose câble  pose point de terminaison optique delc ok  dae ok ', ""gm cp  car gaine bouche ou ecrase entre regard et maison pose ficelle de poteau jusqu'au regard client va faire le necessaire et reprendre rdv laisser numero ca constructel "", 'gm suite rappel  client ce jour le   a  prise de rdv le   en marge matin a apritr de  ']"
18,296251243,True,['  point de terminaison optique non existante pose   mutation sur point de branchement  tube jones fibre jaune pose jrt pm pe droite slot   decharge  vous vie avec moufida de astrologie pour valider le l intervention point de terminaison optique ok ont ok  dae ko vais avec moufida dstgp point de terminaison optique ok ont ok']
19,296144393,True,"['  point de terminaison optique non existante pavillon aero pose point de terminaison optique ont test ok installation conforme  dae ok ', 'gmobtenu client sur son tel le   rdv repris le      ']"
20,229003754,True,['  point de terminaison optique non existante  fo bl   dae ok ']
21,299201855,True,['  point de terminaison optique non existante mise en service  en aerien + sur la facade pose point de terminaison optique test delc ok  dae ok ']
22,297702491,True,['  point de terminaison optique non existante installation ftth pavillon en aerien sur  m ok  dae ok ']
23,296142912,False,['pas de contact client pour fixer  ']
24,297464558,True,"['  point de terminaison optique existante malfaçoncon plp non detectee  plp pk decharge  dae ok ', 'plp non detecte en commande mais suspecte  si presence point de terminaison optique  utiliser emutation pour muter  si pas de point de terminaison optique  utiliser emutation pour creer point de terminaison optique puis mutersi pas possible appeler appui a chaud  ou   precisez lors de la cloture si point de terminaison optique a ete trouvee']"
25,299145181,True,['  point de terminaison optique existante malfaçon on plp non détectée  changement d op rateur  dae ok ']
26,297693231,True,"['gm cp envoye sms pour reprendre nouveau rdv des  fini apab  gem  gem  regard a rechercher en partit privative  dae na non eéligible au dae   suite mail orange du   client ule sa commande', 'merci de clrer le rendez vous du client car il a ulsa commande   ', 'gm cp envoye sms pour reprendre nouveau rdv des  fini apab   gem litige: dr probleme de regard gem  regard a rechercher en partit privative  dae na non eéligible au dae']"
27,297705408,True,['  point de terminaison optique non existante raccordementordement pavillon ok passage du câble en  metres du câble point de terminaison optique installee dans le salon a la demande du client valeur point de terminaison optique  valeur pm  test delec ftth ok ras dae ok ']
28,297810383,True,['  point de terminaison optique non existante farid ok   passage de c cble en aerosouterrain  point de terminaison optique posee dans le salon a la demande de client  val pm   val point de terminaison optique   position au pm    vu avec ahmed cqe ok dae ok ']
29,296947091,True,['  point de terminaison optique non existante pose point de terminaison optique passage  metres c cble  fo pose jartierre a la pm et mise en service  dae ok ']
30,296942811,True,['  point de terminaison optique non existante vivianepasco@gmailcom  mt pose prise optique dans chambre dlc ok dae ok ']
31,296615272,True,['  point de terminaison optique non existante  metre de c cble pose point de terminaison optique dlec ok dae ok ']
32,297086514,True,"['  point de terminaison optique non existante raccordementordement client ok pose point de terminaison optique ok route obtique ok tictage ok delc ok  dae ok ', 'gm impossible de laisser message vocal le   pour reprendre rdv apaf   gem litige: ab client absent le client est absent  dae na non eéligible au dae']"
33,296941662,True,"['  point de terminaison optique non existante pose point de terminaison optique tire  de  pavillon aerien  dae ok ', 'gm obtenu cliente sur son tel le   rdv repris le     ', 'gmlaisse message vocal pour fixer rdv  ', 'gmobtenu cliente   rdv repris le   matin  ']"
34,297705416,False,['  cli    j ai appele au client d mon arriv e sur place   il m a dit que j ai ul ma commande et j ai renvoy tout le mat riel dae na non éligible au dae']
